"","Line0000Point0002.Raw","Line0000Point0002.Defl","Line0000Point0002.Amp","Line0000Point0002.Phase","Line0000Point0002.Phas2","Line0000Point0002.Freq","Line0000Point0002.ZSnsr","Line0000Point0002.Bias"
"15621",-1.22881851893908e-06,8.33033482194878e-08,1.23735161006167e-10,-10.264835357666,-2.72840738296509,1752831.125,-1.22891538012482e-06,0
"15622",-1.22872552310582e-06,8.33006268408099e-08,1.24094845510569e-10,-11.4353942871094,-3.71803522109985,1752830.625,-1.22886967801605e-06,0
"15623",-1.22887274756067e-06,8.34663680393533e-08,1.26792562560318e-10,-10.2635049819946,-4.0373682975769,1752830,-1.22885967357433e-06,0
"15624",-1.22868834750989e-06,8.35342603977551e-08,1.25533625161545e-10,-10.1902694702148,-3.62699031829834,1752829.375,-1.22887604447897e-06,0
"15625",-1.22919198020099e-06,8.34318782949595e-08,1.23195606493987e-10,-11.5487117767334,-3.34499359130859,1752829,-1.22889832709916e-06,0
"15626",-1.22912683764298e-06,8.32729867283888e-08,1.23195606493987e-10,-12.2154664993286,-2.66276836395264,1752828.375,-1.22890742204618e-06,0
"15627",-1.22851940886903e-06,8.32489774893475e-08,1.23195606493987e-10,-12.7991790771484,-3.93304109573364,1752827.625,-1.22890196507797e-06,0
"15628",-1.22901371923945e-06,8.32586337651264e-08,1.29310437357866e-10,-12.423734664917,-6.14339590072632,1752826.625,-1.2288915058889e-06,0
"15629",-1.22885876407963e-06,8.32927042893061e-08,1.26432864178128e-10,-9.63741302490234,-3.12721967697144,1752825.5,-1.22887740872102e-06,0
"15630",-1.22891151477234e-06,8.33241386999362e-08,1.25173940657142e-10,-10.9877662658691,-1.88376903533936,1752824.875,-1.22885467135347e-06,0
"15631",-1.22893322895834e-06,8.33080520123985e-08,1.22656065859594e-10,-12.1547203063965,-2.66648054122925,1752824.25,-1.22882147479686e-06,0
"15632",-1.22873018426617e-06,8.33758662110995e-08,1.23015764241785e-10,-11.9397783279419,-1.76377773284912,1752823.75,-1.22878600450349e-06,0
"15633",-1.22866197216354e-06,8.34249505032858e-08,1.27691801576901e-10,-11.8353443145752,-3.13743352890015,1752823.125,-1.22876190289389e-06,0
"15634",-1.22896722132282e-06,8.34888069789486e-08,1.27152260942509e-10,-11.1182498931885,-5.17084836959839,1752822.125,-1.22876349450962e-06,0
"15635",-1.2283845762795e-06,8.35703986012959e-08,1.24634386144962e-10,-10.4129362106323,-4.40289974212646,1752821.25,-1.22880055641872e-06,0
"15636",-1.22892231502192e-06,8.33965714264195e-08,1.24994084527152e-10,-9.37528610229492,-1.63709163665771,1752820.5,-1.22887354336854e-06,0
"15637",-1.22910057598347e-06,8.32495601343908e-08,1.20677745574227e-10,-11.0609798431396,-2.69649982452393,1752819.875,-1.22896585708077e-06,0
"15638",-1.22909739275201e-06,8.33964080015903e-08,1.23195606493987e-10,-9.87220287322998,-1.88417673110962,1752819.25,-1.22905385069316e-06,0
"15639",-1.22911762900912e-06,8.35491960060608e-08,1.19778506557644e-10,-9.55523014068604,-0.96179723739624,1752818.375,-1.2291229722905e-06,0
"15640",-1.22905873922718e-06,8.34657853943099e-08,1.20138204939835e-10,-8.01493453979492,-1.92460298538208,1752817.875,-1.22916708278353e-06,0
"15641",-1.22931442092522e-06,8.32441955367358e-08,1.1851956915887e-10,-8.02480506896973,-0.450224876403809,1752817.25,-1.22917936096201e-06,0
"15642",-1.22939343327744e-06,8.32287696539424e-08,1.19598664305443e-10,-8.16932201385498,-1.71721458435059,1752816.75,-1.22915503197873e-06,0
"15643",-1.22907260902139e-06,8.33954985068885e-08,1.2445454389276e-10,-9.26462936401367,-4.47875261306763,1752815.875,-1.22910432764911e-06,0
"15644",-1.22883398034901e-06,8.35001046084471e-08,1.19778506557644e-10,-9.11064910888672,-3.72236967086792,1752815,-1.22905544230889e-06,0
